"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"4540","HMGB2","HMGB2",-0.472146337038955,8.27404421378642,120.510708389698,4.90323671262658e-18,6.36096898729047e-14,-17.3095171398956
"7497","ODC1","ODC1",-0.510813723825167,7.53655314693547,82.8421727178231,3.06542832826537e-14,1.98839008512933e-10,-13.5135088335093
"9850","SLC16A6","SLC16A6",-0.57197495392405,4.15102129785244,72.0719855983923,5.39930256247972e-13,2.33483840476832e-09,-12.2676623351452
"7346","NR4A1","NR4A1",-1.36406404820259,2.46766090216389,70.0974449101061,9.33631237652489e-13,3.02799951151643e-09,-12.0298246259932
"7180","NFKBIA","NFKBIA",-0.453305417966455,8.81609380126879,56.9514856116821,4.33949352014583e-11,1.12592498873704e-07,-10.3625609557966
"2919","DUSP5","DUSP5",-0.712985958642477,5.19313514551816,52.3314125209516,1.82588156850093e-10,3.94786026469376e-07,-9.73852739537487
"12409","ZFP36","ZFP36",-0.681151827667693,9.0153288767194,49.5896825451342,4.3871420044561e-10,8.13062760340128e-07,-9.35781830798084
"8601","PTP4A1","PTP4A1",-0.429569920458748,7.13258412389888,48.2245259904121,6.83543569416966e-10,1.10845134075579e-06,-9.16523379806133
"7924","PHLDA1","PHLDA1",-0.621399147096622,3.63714871418542,45.8238432768595,1.50829994849248e-09,2.17413058131033e-06,-8.82151228378349
"1705","CD83","CD83",-0.549549136624063,4.17982712377676,45.1465915274726,1.89081682286415e-09,2.42272941301232e-06,-8.72335054237263
"7998","PIM3","PIM3",-0.410652680949049,6.77970649183974,44.7222775478698,2.17983456085277e-09,2.42272941301232e-06,-8.66157646604456
"11319","TNFAIP3","TNFAIP3",-0.553642007909757,10.2726455110126,44.6398683607962,2.24102003824465e-09,2.42272941301232e-06,-8.64955426017169
"9014","RGS16","RGS16",-1.03570410554723,3.18403765539075,43.90488903899,2.87094059863224e-09,2.86497787585047e-06,-8.54197579320643
"2905","DUSP1","DUSP1",-0.495435736918019,9.65229551213232,42.9281099343071,3.99942618827596e-09,3.69230148997958e-06,-8.39800231395743
"12335","ZC3H12A","ZC3H12A",-0.415976205063253,5.47638316419644,42.7366894602582,4.26921470359159e-09,3.69230148997958e-06,-8.36965200349066
"12411","ZFP36L2","ZFP36L2",-0.330821933445429,11.2106616594207,42.5381878784318,4.56871851311843e-09,3.70437407941783e-06,-8.34020559877627
"9998","SLC43A2","SLC43A2",-0.819162018977172,1.96204924348016,42.1238846336575,5.26513648380433e-09,4.01791856496433e-06,-8.27859036647378
"5808","LOC284454","LOC284454",-0.754969297655844,3.1063524607228,40.2636991055319,1.00160714564642e-08,7.21880527803942e-06,-7.99930258578726
"4480","HIF1A","HIF1A",-0.336628056361183,7.07167053864762,39.2828663310264,1.41167343837649e-08,9.63875764003065e-06,-7.85026575676428
"12776","ZNF627","ZNF627",-0.393884136846947,4.31064460633839,38.813265841059,1.66545412469892e-08,1.03802919628325e-05,-7.77846732554531
"6119","LYPD3","LYPD3",-0.730512001514021,3.57954278590475,38.7789858948513,1.68571893392166e-08,1.03802919628325e-05,-7.77321483518134
"675","ARL4A","ARL4A",-0.351675926601821,6.06793258971523,38.6563285497029,1.76032084469526e-08,1.03802919628325e-05,-7.75440816833276
"1786","CDKN1A","CDKN1A",-1.20643788901089,4.41871124598038,38.2633533909437,2.02292387135061e-08,1.14101701665354e-05,-7.69402046071632
"1041","BHLHE40","BHLHE40",-0.568985907037582,5.62933455884469,36.185443529239,4.25346616403611e-08,2.17491565485411e-05,-7.37125701762124
"720","ARRDC2","ARRDC2",-0.482687678632336,6.58171275900533,36.1176347832358,4.358884377261e-08,2.17491565485411e-05,-7.36062465082253
