NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ZINC ION HOMEOSTASIS%GOBP%GO:0055069	ZINC ION HOMEOSTASIS%GOBP%GO:0055069	Details ...	22	0.8274312	2.1965663	0.0	0.0	0.0	1286	tags=55%, list=10%, signal=60%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	Details ...	87	0.63088936	2.1859612	0.0	0.0	0.0	1362	tags=32%, list=10%, signal=36%	
TRANSITION METAL ION HOMEOSTASIS%GOBP%GO:0055076	TRANSITION METAL ION HOMEOSTASIS%GOBP%GO:0055076	Details ...	81	0.6401936	2.148062	0.0	4.7798143E-4	0.002	1580	tags=31%, list=12%, signal=35%	
CELLULAR TRANSITION METAL ION HOMEOSTASIS%GOBP%GO:0046916	CELLULAR TRANSITION METAL ION HOMEOSTASIS%GOBP%GO:0046916	Details ...	72	0.6546589	2.1479802	0.0	3.5848608E-4	0.002	1580	tags=32%, list=12%, signal=36%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	Details ...	87	0.6201401	2.1419353	0.0	2.8678888E-4	0.002	1362	tags=31%, list=10%, signal=34%	
CELLULAR ZINC ION HOMEOSTASIS%GOBP%GO:0006882	CELLULAR ZINC ION HOMEOSTASIS%GOBP%GO:0006882	Details ...	20	0.83144796	2.1400506	0.0	2.3899072E-4	0.002	1286	tags=60%, list=10%, signal=66%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.1	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.1	Details ...	87	0.62109137	2.1343434	0.0	3.0878052E-4	0.003	2170	tags=38%, list=17%, signal=45%	
MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 75%5368287	MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 75%5368287	Details ...	93	0.61066943	2.1295166	0.0	2.7018294E-4	0.003	2170	tags=37%, list=17%, signal=44%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	111	0.5969684	2.124186	0.0	2.4016263E-4	0.003	2170	tags=34%, list=17%, signal=41%	
MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	Details ...	88	0.6180488	2.1144419	0.0	2.1614636E-4	0.003	1362	tags=31%, list=10%, signal=34%	
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	TRANSLATIONAL TERMINATION%GOBP%GO:0006415	Details ...	95	0.5968704	2.1025558	0.0	2.6142682E-4	0.004	1362	tags=32%, list=10%, signal=35%	
MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	Details ...	88	0.61757076	2.08444	0.0	4.2173357E-4	0.007	2170	tags=38%, list=17%, signal=45%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	89	0.6031731	2.0785537	0.0	4.4521218E-4	0.008	3566	tags=63%, list=27%, signal=86%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	155	0.54648656	2.0538924	0.0	7.757471E-4	0.015	3566	tags=56%, list=27%, signal=76%	
RESPONSE TO ZINC ION%GOBP%GO:0010043	RESPONSE TO ZINC ION%GOBP%GO:0010043	Details ...	17	0.80601597	2.0204775	0.0	0.0013943155	0.029	1286	tags=59%, list=10%, signal=65%	
RESPONSE TO COPPER ION%GOBP%GO:0046688	RESPONSE TO COPPER ION%GOBP%GO:0046688	Details ...	15	0.8311365	2.0142698	0.0	0.0013967787	0.031	775	tags=47%, list=6%, signal=50%	
ELECTRON TRANSPORT CHAIN (OXPHOS SYSTEM IN MITOCHONDRIA)%WIKIPATHWAYS_20210210%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN (OXPHOS SYSTEM IN MITOCHONDRIA)%WIKIPATHWAYS_20210210%WP111%HOMO SAPIENS	Details ...	72	0.59323955	1.9976408	0.0	0.0016561217	0.039	3566	tags=60%, list=27%, signal=82%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205	PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205	Details ...	156	0.5335912	1.9892122	0.0	0.002288434	0.055	3566	tags=54%, list=27%, signal=73%	
RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009199	RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009199	Details ...	160	0.5255032	1.9777375	0.0	0.003007327	0.077	3566	tags=52%, list=27%, signal=72%	
PURINE NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009126	PURINE NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009126	Details ...	164	0.5202904	1.9715823	0.0	0.0031811781	0.085	3612	tags=53%, list=28%, signal=73%	
NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009123	NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009123		171	0.5137288	1.9659134	0.0	0.0033751212	0.095	3612	tags=53%, list=28%, signal=73%	
PURINE RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009167	PURINE RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009167		164	0.5202904	1.9565442	0.0	0.0040136585	0.116	3612	tags=53%, list=28%, signal=73%	
ATP METABOLIC PROCESS%GOBP%GO:0046034	ATP METABOLIC PROCESS%GOBP%GO:0046034		138	0.53495365	1.9546893	0.0	0.00387054	0.116	3566	tags=56%, list=27%, signal=76%	
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	TRANSLATIONAL ELONGATION%GOBP%GO:0006414		106	0.5560313	1.951272	0.0	0.0040102163	0.124	1362	tags=25%, list=10%, signal=28%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053		138	0.53016937	1.9494587	0.0	0.0040535457	0.13	2170	tags=31%, list=17%, signal=37%	
PHASE II - CONJUGATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 75%156580	PHASE II - CONJUGATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 75%156580		52	0.62641263	1.9459713	0.0	0.0043133553	0.143	2793	tags=46%, list=22%, signal=59%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773		69	0.5875813	1.9439507	0.0	0.0042874655	0.148	3566	tags=59%, list=27%, signal=82%	
RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009161	RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009161		167	0.5159964	1.9402726	0.0	0.0043921727	0.156	3612	tags=53%, list=28%, signal=73%	
AMINO ACID ACTIVATION%GOBP%GO:0043038	AMINO ACID ACTIVATION%GOBP%GO:0043038		44	0.62707216	1.9224083	0.0	0.0060619502	0.22	2092	tags=39%, list=16%, signal=46%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900		83	0.5630554	1.9218993	0.0	0.005907815	0.221	3566	tags=54%, list=27%, signal=74%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1		110	0.5435563	1.9214902	0.0	0.005740718	0.222	3566	tags=55%, list=27%, signal=76%	
